xffero|RRQ|id|c|1160|1.06|200|1.08|73|135.2|0.71|0.26|0.07|0.06|28
aspas|MIBR|br|d|916|1.06|211|1.16|72|139.7|0.77|0.16|0.14|0.12|26
Sato|LEV|br|d|1471|1.06|222|1.11|74|145.9|0.77|0.32|0.13|0.12|33
Pa1ze|JL|dk|d|246|1.06|238|1.08|72|154.3|0.80|0.22|0.26|0.17|31
lovers rock|BBL|tr|d|1007|1.06|220|1.11|71|140.0|0.77|0.17|0.17|0.11|19
Coco|TEC|cn|c|1605|1.06|204|1.02|73|131.4|0.71|0.38|0.06|0.07|32
Raxcal|GEN|kr|s|312|1.06|201|1.08|75|130.4|0.69|0.29|0.08|0.07|25
Ying|KBG|cn||173|1.06|212|0.98|67|136.9|0.72|0.27|0.08|0.08|30
paTiTek|EP|pl|c|104|1.05|192|1.08|76|119.3|0.67|0.36|0.12|0.07|18
Autumn|GE|au|d|1255|1.05|208|1.10|71|133.1|0.75|0.18|0.13|0.12|30
ZmjjKK|EDG|cn|d|1763|1.05|239|1.14|70|152.5|0.84|0.17|0.19|0.17|23
MaKo|KRX|kr|c|1054|1.05|196|1.02|75|128.3|0.69|0.36|0.08|0.07|29
yosemite|WOL|cn|s|1183|1.05|205|1.01|68|136.9|0.72|0.21|0.10|0.09|29
Layla|AT|vn|s|118|1.05|218|1.11|64|137.2|0.79|0.20|0.13|0.14|29
t3xture|GEN|kr|d|860|1.05|226|1.10|71|144.3|0.79|0.16|0.18|0.15|23
nephh|BLG|sg|c|1260|1.05|206|1.04|75|125.1|0.71|0.43|0.07|0.08|24
RieNs|TH|tr|i|1436|1.05|208|1.04|74|137.8|0.72|0.29|0.07|0.06|36
dos9|KC|kz|c|773|1.05|194|1.07|75|122.2|0.69|0.36|0.08|0.08|28
blowz|LEV|br|i|1471|1.05|178|1.07|76|120.8|0.62|0.33|0.05|0.04|31
Favian|EF|tr|d|949|1.05|220|1.06|69|145.1|0.79|0.24|0.12|0.11|29
ra1ny|TEC|cn|d|479|1.05|222|0.97|66|153.7|0.77|0.19|0.18|0.23|23
eeiu|FUR|ca|i|803|1.04|192|1.07|70|128.4|0.70|0.26|0.07|0.05|27
zekken|MIBR|us|d|916|1.04|217|1.04|72|137.6|0.74|0.28|0.15|0.13|23
Smoggy|EDG|cn|c|1763|1.04|201|0.99|74|132.9|0.69|0.36|0.09|0.08|29
Knight|BLG|cn|i|1059|1.04|192|1.03|71|127.0|0.67|0.30|0.06|0.07|25
cortezia|SEN|br|c|767|1.04|200|1.08|69|135.2|0.70|0.22|0.09|0.09|31
skuba|NRG|us|c|1637|1.04|188|1.06|75|123.4|0.67|0.27|0.08|0.07|26
PatMen|GE|ph|c|1255|1.04|222|1.08|72|143.4|0.78|0.27|0.12|0.09|32
LewN|KC|tr|d|773|1.04|229|1.12|71|145.4|0.81|0.17|0.17|0.15|33
Lysoar|XLG|cn|c|1640|1.04|195|1.05|76|126.6|0.70|0.36|0.05|0.05|25
Scales|TYL|cn|c|1583|1.04|198|1.03|72|133.0|0.70|0.22|0.11|0.07|32
Tonk|KBG|hk|s|173|1.04|194|0.89|68|142.1|0.68|0.20|0.12|0.08|31
mwzera|KRÜ|br|i|630|1.03|197|1.00|73|130.9|0.68|0.30|0.07|0.04|22
BABYBAY|G2|us|s|1556|1.03|202|1.06|72|132.5|0.72|0.22|0.12|0.10|22
kiNgg|LEV|cl|c|1471|1.03|179|1.10|75|115.3|0.64|0.31|0.07|0.06|28
Spring|WOL|tw|c|1183|1.03|207|0.97|70|137.3|0.70|0.32|0.08|0.10|28
kamo|TL|pl|d|1200|1.03|215|1.07|73|142.2|0.75|0.26|0.12|0.11|34
MiniBoo|TL|lt|d|969|1.03|220|1.07|71|141.4|0.77|0.18|0.18|0.17|30
lucas|TEC|cn|i|1605|1.03|201|1.05|71|133.7|0.71|0.29|0.06|0.06|27
Wo0t|TH|tr|d|1436|1.03|213|1.06|73|140.1|0.75|0.21|0.15|0.13|27
Loita|BBL|tr|c|1007|1.03|182|0.98|72|121.7|0.65|0.43|0.06|0.09|36
oonzmlp|VL|kr|s|753|1.03|200|1.02|72|131.0|0.69|0.31|0.09|0.10|30
zhe|JDG|cn|d|1642|1.03|220|1.11|72|138.8|0.78|0.24|0.15|0.15|24
crashies|FNC|us|i|1236|1.02|184|1.04|71|122.3|0.65|0.26|0.05|0.05|29
nAts|TL|ru|c|1166|1.02|206|1.09|71|139.8|0.73|0.20|0.08|0.09|26
MAGNUM|EP|cz||104|1.02|202|1.08|68|131.5|0.68|0.26|0.13|0.09|28
yetujey|FUT|tr|s|1323|1.02|188|1.01|71|129.0|0.67|0.23|0.07|0.07|27
d4v41|PRX|my|c|2000|1.02|199|1.09|72|133.2|0.71|0.21|0.10|0.07|28
