model,rho_next,rho_180d,mae,entry_resid,rho_决斗者,rho_先锋,rho_控场,rho_哨卫,n
recent2y centered,0.35810801574005807,0.42319099518006426,0.8871078671052928,0.10012960548892648,0.41874226561078837,0.32744946703896616,0.2784374514213277,0.3467919695567911,1528
full centered,0.36593396501637315,0.42904388933035925,0.8818962489594115,0.10961355782727332,0.4289369806025737,0.341012129937286,0.27541092611728163,0.36571042700403117,1528
flat centered,0.3506502859992692,0.43001267474422106,0.8843053669978265,0.17722371513132168,0.42496722219695926,0.3068325591439616,0.2528915150370831,0.3571697407538545,1528
full global,0.31960503905843185,0.3602487583917195,0.9179416011125437,0.2644149911724255,0.4119641056388514,0.3400799290581261,0.17922723313543273,0.3119421357384623,1528
