model,n,rho_next,rho_180d,n_180d,cutoff,event,mae,entry_resid,rho_决斗者,rho_先锋,rho_控场,rho_哨卫,rho_callers,n_callers,resid_callers,resid_others,rho_180d_callers
stage igl=0.45 grades=A,60,0.3343,0.3892,59,2026-03-01,valorant-masters-santiago-2026,0.8551,0.033,0.3263,0.3664,0.3917,,0.1786,7,0.104,-0.0137,-0.0357
stage igl=0.45 grades=ABC,60,0.353,0.3972,59,2026-03-01,valorant-masters-santiago-2026,0.8591,0.026,0.3263,0.4759,0.3881,,0.1786,7,0.098,-0.0129,-0.0357
stage hon=3.0,60,0.3593,0.3998,59,2026-03-01,valorant-masters-santiago-2026,0.8485,0.0895,0.4005,0.3747,0.3595,,0.0714,7,-0.1934,0.0255,-0.1071
stage hon=6.0,60,0.3601,0.4015,59,2026-03-01,valorant-masters-santiago-2026,0.8611,0.0952,0.4197,0.3631,0.3383,,0.0714,7,-0.2292,0.0303,-0.1071
current(rebuilt),54,0.4835,0.4164,48,2026-03-31,vct-2026-china-stage-1,0.8342,0.0712,0.3355,0.5429,0.541,0.6,0.6,5,-0.2342,0.1982,0.5
baseline-R2 hl=270,54,0.4896,0.4083,48,2026-03-31,vct-2026-china-stage-1,0.7998,0.0523,0.3208,0.2487,0.6099,0.6,0.8,5,-0.0397,0.1784,0.2
decay regime=off,54,0.4227,0.2795,48,2026-03-31,vct-2026-china-stage-1,0.8299,0.1534,0.4211,0.29,0.3757,0.6,0.7,5,0.0208,0.1722,-0.3
decay regime=soft-sym,54,0.4227,0.2795,48,2026-03-31,vct-2026-china-stage-1,0.8299,0.1534,0.4211,0.29,0.3757,0.6,0.7,5,0.0208,0.1722,-0.3
decay regime=soft-asym,54,0.4227,0.2795,48,2026-03-31,vct-2026-china-stage-1,0.8299,0.1534,0.4211,0.29,0.3757,0.6,0.7,5,0.0208,0.1722,-0.3
stage regime=off,54,0.426,0.3005,48,2026-03-31,vct-2026-china-stage-1,0.8247,0.1846,0.4771,0.2759,0.3829,0.7,0.7,5,0.0836,0.1658,-0.3
stage regime=soft-sym,54,0.426,0.3005,48,2026-03-31,vct-2026-china-stage-1,0.8247,0.1846,0.4771,0.2759,0.3829,0.7,0.7,5,0.0836,0.1658,-0.3
stage regime=soft-asym,54,0.426,0.3005,48,2026-03-31,vct-2026-china-stage-1,0.8247,0.1846,0.4771,0.2759,0.3829,0.7,0.7,5,0.0836,0.1658,-0.3
split regime=off,54,0.4216,0.2842,48,2026-03-31,vct-2026-china-stage-1,0.8322,0.1655,0.4274,0.29,0.3757,0.6,0.7,5,0.0315,0.1711,-0.3
split regime=soft-sym,54,0.4216,0.2842,48,2026-03-31,vct-2026-china-stage-1,0.8322,0.1655,0.4274,0.29,0.3757,0.6,0.7,5,0.0315,0.1711,-0.3
split regime=soft-asym,54,0.4216,0.2842,48,2026-03-31,vct-2026-china-stage-1,0.8322,0.1655,0.4274,0.29,0.3757,0.6,0.7,5,0.0315,0.1711,-0.3
stage igl=0.25 grades=A,54,0.4269,0.3006,48,2026-03-31,vct-2026-china-stage-1,0.8239,0.1851,0.4771,0.2759,0.3802,0.7,0.7,5,0.1098,0.1631,-0.3
stage igl=0.25 grades=ABC,54,0.4269,0.3006,48,2026-03-31,vct-2026-china-stage-1,0.8261,0.1829,0.4771,0.2759,0.3802,0.7,0.7,5,0.1077,0.1633,-0.3
stage igl=0.35 grades=A,54,0.4231,0.3112,48,2026-03-31,vct-2026-china-stage-1,0.8273,0.1813,0.4771,0.2759,0.3726,0.7,0.8208,5,0.1547,0.1585,-0.1026
stage igl=0.35 grades=ABC,54,0.4225,0.3143,48,2026-03-31,vct-2026-china-stage-1,0.8316,0.1769,0.4771,0.2721,0.3726,0.7,0.8208,5,0.1504,0.159,-0.1026
stage igl=0.45 grades=A,54,0.4175,0.3083,48,2026-03-31,vct-2026-china-stage-1,0.8314,0.1776,0.4771,0.297,0.3538,0.6669,0.7,5,0.2007,0.1539,-0.3
stage igl=0.45 grades=ABC,54,0.4175,0.3111,48,2026-03-31,vct-2026-china-stage-1,0.8357,0.1732,0.4771,0.2933,0.3538,0.6669,0.7,5,0.1964,0.1543,-0.3
stage hon=3.0,54,0.4343,0.3004,48,2026-03-31,vct-2026-china-stage-1,0.8023,0.1866,0.5048,0.286,0.3867,0.7,0.7,5,-0.0023,0.1746,-0.3
stage hon=6.0,54,0.4445,0.307,48,2026-03-31,vct-2026-china-stage-1,0.784,0.1865,0.5162,0.286,0.4009,0.7,0.7,5,-0.0308,0.1775,-0.3
current(rebuilt),55,0.3002,0.5439,48,2026-04-01,vct-2026-emea-stage-1,0.9243,-0.41,0.2616,0.4966,0.2829,0.1802,,4,-0.1996,0.0474,
baseline-R2 hl=270,55,0.365,0.5727,48,2026-04-01,vct-2026-emea-stage-1,0.8656,-0.4725,0.2924,0.3736,0.4363,0.1261,,4,0.1633,0.019,
decay regime=off,55,0.3897,0.558,48,2026-04-01,vct-2026-emea-stage-1,0.8858,-0.3225,0.518,0.3508,0.2432,0.1441,,4,-0.5136,0.0721,
decay regime=soft-sym,55,0.3897,0.558,48,2026-04-01,vct-2026-emea-stage-1,0.8858,-0.3225,0.518,0.3508,0.2432,0.1441,,4,-0.5136,0.0721,
decay regime=soft-asym,55,0.3897,0.558,48,2026-04-01,vct-2026-emea-stage-1,0.8858,-0.3225,0.518,0.3508,0.2432,0.1441,,4,-0.5136,0.0721,
stage regime=off,55,0.3708,0.5209,48,2026-04-01,vct-2026-emea-stage-1,0.8821,-0.2945,0.4758,0.29,0.275,0.2431,,4,-0.4851,0.0698,
stage regime=soft-sym,55,0.3708,0.5209,48,2026-04-01,vct-2026-emea-stage-1,0.8821,-0.2945,0.4758,0.29,0.275,0.2431,,4,-0.4851,0.0698,
stage regime=soft-asym,55,0.3708,0.5209,48,2026-04-01,vct-2026-emea-stage-1,0.8821,-0.2945,0.4758,0.29,0.275,0.2431,,4,-0.4851,0.0698,
split regime=off,55,0.3933,0.5547,48,2026-04-01,vct-2026-emea-stage-1,0.8849,-0.3093,0.5136,0.3508,0.2627,0.1441,,4,-0.4976,0.0708,
split regime=soft-sym,55,0.3933,0.5547,48,2026-04-01,vct-2026-emea-stage-1,0.8849,-0.3093,0.5136,0.3508,0.2627,0.1441,,4,-0.4976,0.0708,
split regime=soft-asym,55,0.3933,0.5547,48,2026-04-01,vct-2026-emea-stage-1,0.8849,-0.3093,0.5136,0.3508,0.2627,0.1441,,4,-0.4976,0.0708,
stage igl=0.25 grades=A,55,0.3786,0.5114,48,2026-04-01,vct-2026-emea-stage-1,0.8735,-0.2989,0.4857,0.29,0.2873,0.2545,,4,-0.4627,0.0681,
stage igl=0.25 grades=ABC,55,0.3716,0.5103,48,2026-04-01,vct-2026-emea-stage-1,0.8823,-0.2988,0.4857,0.2299,0.2825,0.2545,,4,-0.4549,0.0675,
stage igl=0.35 grades=A,55,0.3761,0.5007,48,2026-04-01,vct-2026-emea-stage-1,0.8715,-0.2998,0.4857,0.29,0.2599,0.2545,,4,-0.4629,0.0681,
stage igl=0.35 grades=ABC,55,0.3656,0.5063,48,2026-04-01,vct-2026-emea-stage-1,0.8772,-0.3023,0.4857,0.1899,0.2349,0.2545,,4,-0.4554,0.0675,
stage igl=0.45 grades=A,55,0.3798,0.4936,48,2026-04-01,vct-2026-emea-stage-1,0.8681,-0.304,0.4969,0.29,0.2335,0.2545,,4,-0.4166,0.0645,
stage igl=0.45 grades=ABC,55,0.3703,0.5019,48,2026-04-01,vct-2026-emea-stage-1,0.8766,-0.3074,0.4969,0.1899,0.217,0.2545,,4,-0.4051,0.0635,
stage hon=3.0,55,0.3775,0.5368,48,2026-04-01,vct-2026-emea-stage-1,0.8786,-0.3099,0.4644,0.29,0.2979,0.2182,,4,-0.5386,0.074,
stage hon=6.0,55,0.382,0.5382,48,2026-04-01,vct-2026-emea-stage-1,0.878,-0.3157,0.4644,0.29,0.3062,0.2182,,4,-0.5552,0.0753,
current(rebuilt),58,0.5295,0.6042,54,2026-04-03,vct-2026-pacific-stage-1,0.751,0.0153,0.7201,0.7552,0.3519,0.1071,,4,0.0517,0.0998,
baseline-R2 hl=270,58,0.5619,0.6518,54,2026-04-03,vct-2026-pacific-stage-1,0.7124,-0.065,0.7354,0.6573,0.488,0.25,,4,0.2002,0.0888,
decay regime=off,58,0.5764,0.5931,54,2026-04-03,vct-2026-pacific-stage-1,0.7007,0.1508,0.6568,0.8526,0.6002,-0.1786,,4,-0.0268,0.1056,
decay regime=soft-sym,58,0.5594,0.5784,54,2026-04-03,vct-2026-pacific-stage-1,0.7044,0.1539,0.6303,0.8526,0.5817,-0.1429,,4,0.1115,0.0954,
decay regime=soft-asym,58,0.5764,0.5931,54,2026-04-03,vct-2026-pacific-stage-1,0.7007,0.1508,0.6568,0.8526,0.6002,-0.1786,,4,-0.0268,0.1056,
stage regime=off,58,0.5608,0.5739,54,2026-04-03,vct-2026-pacific-stage-1,0.7252,0.1498,0.6487,0.8531,0.5626,-0.1786,,4,0.0552,0.0995,
stage regime=soft-sym,58,0.5455,0.5589,54,2026-04-03,vct-2026-pacific-stage-1,0.7298,0.1547,0.6223,0.8531,0.5402,-0.1622,,4,0.1676,0.0912,
stage regime=soft-asym,58,0.5608,0.5739,54,2026-04-03,vct-2026-pacific-stage-1,0.7252,0.1498,0.6487,0.8531,0.5626,-0.1786,,4,0.0552,0.0995,
split regime=off,58,0.5797,0.5982,54,2026-04-03,vct-2026-pacific-stage-1,0.6935,0.1356,0.6568,0.8526,0.6016,-0.1786,,4,0.0137,0.1026,
split regime=soft-sym,58,0.5646,0.5851,54,2026-04-03,vct-2026-pacific-stage-1,0.6965,0.1384,0.6303,0.8526,0.5777,-0.1429,,4,0.1512,0.0924,
split regime=soft-asym,58,0.5797,0.5982,54,2026-04-03,vct-2026-pacific-stage-1,0.6935,0.1356,0.6568,0.8526,0.6016,-0.1786,,4,0.0137,0.1026,
stage igl=0.25 grades=A,58,0.56,0.5738,54,2026-04-03,vct-2026-pacific-stage-1,0.7211,0.1561,0.6487,0.8476,0.5751,-0.2342,,4,-0.0642,0.1084,
stage igl=0.25 grades=ABC,58,0.5616,0.5788,54,2026-04-03,vct-2026-pacific-stage-1,0.72,0.1522,0.6487,0.8392,0.5442,-0.2342,,4,-0.0636,0.1083,
stage igl=0.35 grades=A,58,0.5612,0.5744,54,2026-04-03,vct-2026-pacific-stage-1,0.7192,0.1589,0.6487,0.8476,0.5751,-0.2342,,4,-0.1127,0.112,
stage igl=0.35 grades=ABC,58,0.5637,0.5782,54,2026-04-03,vct-2026-pacific-stage-1,0.718,0.1558,0.6487,0.8392,0.5491,-0.2342,,4,-0.1111,0.1119,
stage igl=0.45 grades=A,58,0.5641,0.5747,54,2026-04-03,vct-2026-pacific-stage-1,0.7171,0.1619,0.6487,0.8476,0.5751,-0.2342,,4,-0.1614,0.1156,
stage igl=0.45 grades=ABC,58,0.57,0.5812,54,2026-04-03,vct-2026-pacific-stage-1,0.7113,0.1562,0.6487,0.8392,0.5613,-0.2342,,4,-0.1629,0.1157,
stage hon=3.0,58,0.5549,0.5793,54,2026-04-03,vct-2026-pacific-stage-1,0.7258,0.1578,0.6471,0.8196,0.5227,-0.1786,,4,0.0022,0.1035,
stage hon=6.0,58,0.5589,0.585,54,2026-04-03,vct-2026-pacific-stage-1,0.7244,0.1616,0.6559,0.8196,0.5292,-0.1786,,4,-0.0143,0.1047,
current(rebuilt),58,0.5033,0.5044,47,2026-04-11,vct-2026-americas-stage-1,0.7681,-0.1385,0.6671,0.4704,0.2741,0.6015,,4,-0.4499,0.0945,
baseline-R2 hl=270,58,0.4605,0.5,47,2026-04-11,vct-2026-americas-stage-1,0.8403,-0.1904,0.6155,0.3274,0.3313,0.5033,,4,-0.4043,0.0911,
decay regime=off,58,0.314,0.2753,47,2026-04-11,vct-2026-americas-stage-1,0.9381,-0.0679,0.5578,-0.0845,0.1432,0.5033,,4,-0.7587,0.1173,
decay regime=soft-sym,58,0.3143,0.2852,47,2026-04-11,vct-2026-americas-stage-1,0.9286,-0.0838,0.5578,-0.0666,0.1432,0.5033,,4,-0.6127,0.1065,
decay regime=soft-asym,58,0.3143,0.2762,47,2026-04-11,vct-2026-americas-stage-1,0.9387,-0.0667,0.5578,-0.0666,0.1432,0.5033,,4,-0.7548,0.1171,
stage regime=off,58,0.297,0.2339,47,2026-04-11,vct-2026-americas-stage-1,0.9641,-0.1224,0.5388,-0.1108,0.0871,0.5033,,4,-0.7425,0.1161,
stage regime=soft-sym,58,0.2962,0.246,47,2026-04-11,vct-2026-americas-stage-1,0.9572,-0.1336,0.5388,-0.0979,0.0871,0.5033,,4,-0.6101,0.1063,
stage regime=soft-asym,58,0.2969,0.2416,47,2026-04-11,vct-2026-americas-stage-1,0.9665,-0.1182,0.5388,-0.0838,0.0871,0.5033,,4,-0.7311,0.1153,
split regime=off,58,0.3067,0.2715,47,2026-04-11,vct-2026-americas-stage-1,0.9392,-0.0854,0.5664,-0.0845,0.1049,0.5033,,4,-0.7178,0.1143,
split regime=soft-sym,58,0.3071,0.2812,47,2026-04-11,vct-2026-americas-stage-1,0.9313,-0.0997,0.5664,-0.0666,0.1049,0.5033,,4,-0.5946,0.1052,
split regime=soft-asym,58,0.307,0.2724,47,2026-04-11,vct-2026-americas-stage-1,0.9399,-0.0842,0.5664,-0.0666,0.1049,0.5033,,4,-0.7139,0.114,
stage igl=0.25 grades=A,58,0.2936,0.2338,47,2026-04-11,vct-2026-americas-stage-1,0.9574,-0.1363,0.5388,-0.1274,0.0901,0.5033,,4,-0.5166,0.0994,
stage igl=0.25 grades=ABC,58,0.311,0.2489,47,2026-04-11,vct-2026-americas-stage-1,0.9462,-0.1423,0.5388,-0.1082,0.1301,0.5063,,4,-0.53,0.1004,
stage igl=0.35 grades=A,58,0.2987,0.2314,47,2026-04-11,vct-2026-americas-stage-1,0.9557,-0.1392,0.5388,-0.1274,0.1014,0.5033,,4,-0.4698,0.0959,
stage igl=0.35 grades=ABC,58,0.3197,0.2469,47,2026-04-11,vct-2026-americas-stage-1,0.9404,-0.1431,0.5388,-0.0832,0.1384,0.5033,,4,-0.4827,0.0969,
stage igl=0.45 grades=A,58,0.2968,0.2323,47,2026-04-11,vct-2026-americas-stage-1,0.9523,-0.1439,0.5388,-0.1274,0.0984,0.5033,,4,-0.398,0.0906,
stage igl=0.45 grades=ABC,58,0.3269,0.2625,47,2026-04-11,vct-2026-americas-stage-1,0.9319,-0.1531,0.5388,-0.0609,0.1473,0.5033,,4,-0.4172,0.092,
stage hon=3.0,58,0.2857,0.2116,47,2026-04-11,vct-2026-americas-stage-1,0.9736,-0.1196,0.4889,-0.0704,0.0927,0.5063,,4,-0.8287,0.1225,
stage hon=6.0,58,0.2842,0.2045,47,2026-04-11,vct-2026-americas-stage-1,0.9758,-0.1233,0.4889,-0.0553,0.0927,0.5063,,4,-0.8474,0.1239,
current(rebuilt),60,0.469,0.6404,58,2026-06-06,valorant-masters-london-2026,0.8181,-0.009,0.4245,-0.0028,0.5165,0.9483,0.4058,6,-0.1783,0.0198,0.3714
baseline-R2 hl=270,60,0.4649,0.6406,58,2026-06-06,valorant-masters-london-2026,0.8206,0.1132,0.4567,-0.022,0.5648,0.9605,0.2319,6,-0.067,0.0074,0.4286
decay regime=off,60,0.2795,0.4051,58,2026-06-06,valorant-masters-london-2026,0.9494,0.0938,0.4157,0.0731,-0.194,0.6201,-0.4928,6,-0.3997,0.0444,0.0286
decay regime=soft-sym,60,0.2752,0.4006,58,2026-06-06,valorant-masters-london-2026,0.9522,0.0866,0.4157,0.0731,-0.2159,0.6201,-0.4928,6,-0.4059,0.0451,0.0286
decay regime=soft-asym,60,0.2795,0.4051,58,2026-06-06,valorant-masters-london-2026,0.9494,0.0938,0.4157,0.0731,-0.194,0.6201,-0.4928,6,-0.3997,0.0444,0.0286
stage regime=off,60,0.2424,0.3967,58,2026-06-06,valorant-masters-london-2026,0.9578,0.0063,0.3083,0.0772,-0.1702,0.7052,-0.4058,6,-0.4185,0.0465,-0.0857
stage regime=soft-sym,60,0.2382,0.3906,58,2026-06-06,valorant-masters-london-2026,0.9618,-0.0005,0.3083,0.0772,-0.2144,0.7052,-0.4058,6,-0.4249,0.0472,-0.0857
stage regime=soft-asym,60,0.2424,0.3967,58,2026-06-06,valorant-masters-london-2026,0.9578,0.0063,0.3083,0.0772,-0.1702,0.7052,-0.4058,6,-0.4185,0.0465,-0.0857
split regime=off,60,0.2901,0.4077,58,2026-06-06,valorant-masters-london-2026,0.9454,0.0785,0.3996,0.0719,-0.1652,0.6463,-0.4058,6,-0.3739,0.0415,-0.0857
split regime=soft-sym,60,0.2858,0.4033,58,2026-06-06,valorant-masters-london-2026,0.9483,0.0714,0.3996,0.0719,-0.187,0.6463,-0.4058,6,-0.3804,0.0423,-0.0857
split regime=soft-asym,60,0.2901,0.4077,58,2026-06-06,valorant-masters-london-2026,0.9454,0.0785,0.3996,0.0719,-0.1652,0.6463,-0.4058,6,-0.3739,0.0415,-0.0857
stage igl=0.25 grades=A,60,0.2674,0.4104,58,2026-06-06,valorant-masters-london-2026,0.9497,-0.005,0.3083,0.0166,-0.1611,0.7052,-0.1232,6,-0.3132,0.0348,-0.0304
stage igl=0.25 grades=ABC,60,0.2811,0.4187,58,2026-06-06,valorant-masters-london-2026,0.9372,-0.0114,0.3083,0.1752,-0.1611,0.7052,-0.1232,6,-0.3189,0.0354,-0.0304
stage igl=0.35 grades=A,60,0.2691,0.4118,58,2026-06-06,valorant-masters-london-2026,0.9461,-0.0082,0.3083,0.0083,-0.1498,0.689,-0.1232,6,-0.2822,0.0314,-0.0304
stage igl=0.35 grades=ABC,60,0.2901,0.4256,58,2026-06-06,valorant-masters-london-2026,0.927,-0.0199,0.3083,0.1807,-0.1498,0.689,-0.1232,6,-0.2922,0.0325,-0.0304
stage igl=0.45 grades=A,60,0.2762,0.4128,58,2026-06-06,valorant-masters-london-2026,0.9421,-0.0132,0.3083,0.0221,-0.1367,0.689,0.0882,6,-0.2361,0.0262,0.058
stage igl=0.45 grades=ABC,60,0.3035,0.4306,58,2026-06-06,valorant-masters-london-2026,0.9193,-0.0268,0.3083,0.1942,-0.1367,0.689,0.0882,6,-0.2464,0.0274,0.058
stage hon=3.0,60,0.268,0.4098,58,2026-06-06,valorant-masters-london-2026,0.9649,0.0021,0.3517,0.0938,-0.0506,0.7195,-0.0882,6,-0.5298,0.0589,-0.116
stage hon=6.0,60,0.27,0.3996,58,2026-06-06,valorant-masters-london-2026,0.971,-0.0,0.3672,0.0828,0.033,0.7052,0.1176,6,-0.5947,0.0661,-0.029
current(rebuilt),58,0.3191,,0,2026-07-09,vct-2026-china-stage-2,0.9014,-0.0987,0.5503,0.1047,0.0996,0.3789,-0.1429,6,-0.2231,0.1691,
baseline-R2 hl=270,58,0.3896,,0,2026-07-09,vct-2026-china-stage-2,0.8251,-0.1124,0.4953,0.1763,-0.0055,0.6211,-0.3143,6,-0.0423,0.1482,
decay regime=off,58,0.2392,,0,2026-07-09,vct-2026-china-stage-2,0.9754,-0.0416,0.5151,0.0483,-0.0859,0.4814,-0.1429,6,0.0816,0.1339,
decay regime=soft-sym,58,0.2351,,0,2026-07-09,vct-2026-china-stage-2,0.9785,-0.0447,0.5104,0.0483,-0.0804,0.4814,-0.1429,6,0.0848,0.1336,
decay regime=soft-asym,58,0.2351,,0,2026-07-09,vct-2026-china-stage-2,0.9785,-0.0447,0.5104,0.0483,-0.0804,0.4814,-0.1429,6,0.0848,0.1336,
stage regime=off,58,0.2434,,0,2026-07-09,vct-2026-china-stage-2,0.956,-0.0416,0.5621,0.0236,-0.1273,0.3157,-0.0286,6,0.0744,0.1348,
stage regime=soft-sym,58,0.2406,,0,2026-07-09,vct-2026-china-stage-2,0.9604,-0.0465,0.5621,0.0236,-0.1273,0.3187,-0.0286,6,0.0759,0.1346,
stage regime=soft-asym,58,0.2403,,0,2026-07-09,vct-2026-china-stage-2,0.9595,-0.0448,0.5621,0.0236,-0.1273,0.3157,-0.0286,6,0.0777,0.1344,
split regime=off,58,0.2449,,0,2026-07-09,vct-2026-china-stage-2,0.9692,-0.0449,0.523,0.0483,-0.0999,0.4814,-0.087,6,0.0504,0.1375,
split regime=soft-sym,58,0.2407,,0,2026-07-09,vct-2026-china-stage-2,0.9723,-0.048,0.5183,0.0483,-0.0859,0.4814,-0.087,6,0.0536,0.1371,
split regime=soft-asym,58,0.2407,,0,2026-07-09,vct-2026-china-stage-2,0.9723,-0.048,0.5183,0.0483,-0.0859,0.4814,-0.087,6,0.0536,0.1371,
stage igl=0.25 grades=A,58,0.2521,,0,2026-07-09,vct-2026-china-stage-2,0.9472,-0.0443,0.5691,0.014,-0.1273,0.3157,-0.0857,6,0.1061,0.1311,
stage igl=0.25 grades=ABC,58,0.2589,,0,2026-07-09,vct-2026-china-stage-2,0.9408,-0.044,0.5691,0.0361,-0.1273,0.3157,-0.0857,6,0.1072,0.131,
stage igl=0.35 grades=A,58,0.2538,,0,2026-07-09,vct-2026-china-stage-2,0.9463,-0.0493,0.5691,0.0139,-0.1482,0.3157,-0.116,6,0.1516,0.1258,
stage igl=0.35 grades=ABC,58,0.2608,,0,2026-07-09,vct-2026-china-stage-2,0.9374,-0.049,0.5691,0.047,-0.1482,0.3157,-0.116,6,0.1534,0.1256,
stage igl=0.45 grades=A,58,0.2505,,0,2026-07-09,vct-2026-china-stage-2,0.9432,-0.0474,0.5691,0.0139,-0.1482,0.3157,-0.116,6,0.1373,0.1275,
stage igl=0.45 grades=ABC,58,0.258,,0,2026-07-09,vct-2026-china-stage-2,0.9337,-0.0453,0.5691,0.047,-0.1482,0.3157,-0.116,6,0.141,0.1271,
stage hon=3.0,58,0.2354,,0,2026-07-09,vct-2026-china-stage-2,0.961,-0.0316,0.556,0.0139,-0.1273,0.2804,-0.0883,6,0.0031,0.143,
stage hon=6.0,58,0.2292,,0,2026-07-09,vct-2026-china-stage-2,0.9563,-0.0318,0.5385,0.0139,-0.1273,0.2804,-0.0883,6,-0.0251,0.1462,
current(rebuilt),65,0.4568,,0,2026-07-15,vct-2026-emea-stage-2,0.7995,-0.2169,0.2406,0.6711,0.3256,0.663,0.6,5,0.156,0.0133,
baseline-R2 hl=270,65,0.451,,0,2026-07-15,vct-2026-emea-stage-2,0.7892,-0.2593,0.2687,0.6183,0.3297,0.6135,0.6,5,0.4483,-0.0111,
decay regime=off,65,0.3771,,0,2026-07-15,vct-2026-emea-stage-2,0.8834,-0.0855,0.4025,0.5738,0.1295,0.4371,0.1,5,-0.345,0.055,
decay regime=soft-sym,65,0.3736,,0,2026-07-15,vct-2026-emea-stage-2,0.8887,-0.0798,0.4025,0.5738,0.1056,0.4371,0.1,5,-0.3391,0.0545,
decay regime=soft-asym,65,0.3736,,0,2026-07-15,vct-2026-emea-stage-2,0.8887,-0.0798,0.4025,0.5738,0.1056,0.4371,0.1,5,-0.3391,0.0545,
stage regime=off,65,0.3921,,0,2026-07-15,vct-2026-emea-stage-2,0.8723,-0.0852,0.4972,0.6152,0.1674,0.3876,0.1,5,-0.2967,0.051,
stage regime=soft-sym,65,0.3854,,0,2026-07-15,vct-2026-emea-stage-2,0.878,-0.0792,0.4972,0.6152,0.1395,0.3876,0.1,5,-0.2906,0.0505,
stage regime=soft-asym,65,0.3854,,0,2026-07-15,vct-2026-emea-stage-2,0.878,-0.0792,0.4972,0.6152,0.1395,0.3876,0.1,5,-0.2906,0.0505,
split regime=off,65,0.3832,,0,2026-07-15,vct-2026-emea-stage-2,0.8806,-0.0891,0.3981,0.5662,0.1295,0.4371,0.1,5,-0.3009,0.0514,
split regime=soft-sym,65,0.3794,,0,2026-07-15,vct-2026-emea-stage-2,0.8859,-0.0834,0.3981,0.5662,0.1056,0.4371,0.1,5,-0.2949,0.0509,
split regime=soft-asym,65,0.3794,,0,2026-07-15,vct-2026-emea-stage-2,0.8859,-0.0834,0.3981,0.5662,0.1056,0.4371,0.1,5,-0.2949,0.0509,
stage igl=0.25 grades=A,65,0.3959,,0,2026-07-15,vct-2026-emea-stage-2,0.8744,-0.0903,0.4972,0.5903,0.1573,0.3876,-0.2,5,-0.2463,0.0468,
stage igl=0.25 grades=ABC,65,0.3888,,0,2026-07-15,vct-2026-emea-stage-2,0.8731,-0.0742,0.4972,0.5475,0.1616,0.3876,-0.2,5,-0.2342,0.0458,
stage igl=0.35 grades=A,65,0.3943,,0,2026-07-15,vct-2026-emea-stage-2,0.874,-0.0921,0.4972,0.5903,0.1746,0.3876,-0.2,5,-0.2293,0.0454,
stage igl=0.35 grades=ABC,65,0.3845,,0,2026-07-15,vct-2026-emea-stage-2,0.8709,-0.0689,0.4972,0.5303,0.1788,0.3876,-0.2,5,-0.2112,0.0439,
stage igl=0.45 grades=A,65,0.3955,,0,2026-07-15,vct-2026-emea-stage-2,0.8735,-0.0938,0.4972,0.5903,0.2237,0.3876,-0.2,5,-0.212,0.044,
stage igl=0.45 grades=ABC,65,0.3856,,0,2026-07-15,vct-2026-emea-stage-2,0.8762,-0.0648,0.4972,0.5199,0.2351,0.3876,-0.2,5,-0.1884,0.042,
stage hon=3.0,65,0.3969,,0,2026-07-15,vct-2026-emea-stage-2,0.8796,-0.0921,0.4998,0.6123,0.1552,0.4149,-0.2,5,-0.3365,0.0543,
stage hon=6.0,65,0.3969,,0,2026-07-15,vct-2026-emea-stage-2,0.8802,-0.096,0.4998,0.6123,0.1552,0.4149,-0.2,5,-0.3343,0.0541,
current(rebuilt),61,0.352,,0,2026-07-16,vct-2026-pacific-stage-2,0.8492,0.123,0.6966,0.4517,0.0104,0.2667,0.2,6,0.4445,0.1406,
baseline-R2 hl=270,61,0.3708,,0,2026-07-16,vct-2026-pacific-stage-2,0.8408,0.0032,0.6907,0.4286,0.1346,0.3632,0.3714,6,0.6085,0.1227,
decay regime=off,61,0.3228,,0,2026-07-16,vct-2026-pacific-stage-2,0.8958,0.1529,0.5416,0.4148,0.1209,0.5438,0.7714,6,0.1981,0.1675,
decay regime=soft-sym,61,0.3177,,0,2026-07-16,vct-2026-pacific-stage-2,0.8966,0.1504,0.5416,0.3364,0.1209,0.5438,0.7714,6,0.195,0.1678,
decay regime=soft-asym,61,0.3228,,0,2026-07-16,vct-2026-pacific-stage-2,0.8958,0.1529,0.5416,0.4148,0.1209,0.5438,0.7714,6,0.1981,0.1675,
stage regime=off,61,0.3341,,0,2026-07-16,vct-2026-pacific-stage-2,0.8847,0.1486,0.5323,0.4563,0.1169,0.5069,0.6571,6,0.2294,0.1641,
stage regime=soft-sym,61,0.3247,,0,2026-07-16,vct-2026-pacific-stage-2,0.8866,0.1447,0.5323,0.3464,0.1169,0.5069,0.6571,6,0.2246,0.1646,
stage regime=soft-asym,61,0.3341,,0,2026-07-16,vct-2026-pacific-stage-2,0.8847,0.1486,0.5323,0.4563,0.1169,0.5069,0.6571,6,0.2294,0.1641,
split regime=off,61,0.3212,,0,2026-07-16,vct-2026-pacific-stage-2,0.8904,0.1447,0.5341,0.4148,0.1298,0.5656,0.7714,6,0.2411,0.1628,
split regime=soft-sym,61,0.3145,,0,2026-07-16,vct-2026-pacific-stage-2,0.8913,0.1422,0.5341,0.3364,0.1298,0.5656,0.7714,6,0.2379,0.1631,
split regime=soft-asym,61,0.3212,,0,2026-07-16,vct-2026-pacific-stage-2,0.8904,0.1447,0.5341,0.4148,0.1298,0.5656,0.7714,6,0.2411,0.1628,
stage igl=0.25 grades=A,61,0.3289,,0,2026-07-16,vct-2026-pacific-stage-2,0.8888,0.1514,0.5323,0.4388,0.0956,0.5069,0.6571,6,0.1878,0.1686,
